Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²) †,2011 Rating * ,2011 Source EUI (kBtu/sq.ft.),2011 GHG Emissions Intensity (kgCO2e/ft²) †,2012 Rating *,2012 Source EUI (kBtu/sq.ft.),2012 GHG Emissions Intensity (kgCO2e/ft²) †,2013 Rating *,2013 Source EUI (kBtu/sq.ft.),2013 GHG Emissions Intensity (kgCO2e/ft²) †,EPAPMBenchmarkedAs,Campus Name
5,99999,9999,5999999,Staten Island Historical Society Campus: Seamons Cottage,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
3,1692,17,3047914,K021,DOE, 39 , 134.6 ,6.9,55,115.9,5.7,59, 117.6 , 5.1 ,70,111,5.4,Individual building,
5,99999,9999,5999999,Staten Island Historical Society Campus: Shed 38,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
5,4441,1,5121941,Staten Island Historical Society Campus: Stephens House #30,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
5,4437,26,5060575,Staten Island Historical Society Campus: Stephens-Prier House,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
5,4441,1,5999999,Staten Island Historical Society Campus: Tavern,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
5,4441,1,5999999,Staten Island Historical Society Campus: Tin Shop,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
5,4441,4,5999999,Staten Island Historical Society Campus: Transportation Bldg  #32,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
5,4444,10,5999999,Staten Island Historical Society Campus: Treasurer House,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
5,4444,24,5999999,Staten Island Historical Society Campus: Voorlezer House #10,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
5,99999,9999,5999999,Staten Island Historical Society Campus: Wagon Factory,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
5,4441,1,5121933,Staten Island Historical Society Campus: Workshop Richmond Town,DCLA, N/A , 70.6 ,2.5,N/A,79.9,3,N/A, 65.4 , 2.4 ,,62.7,2.3,Part of campus,Staten Island Historical Society Campus
5,9,1,5000088,Staten Island Museum,DCLA, N/A , 168.9 ,5.2,N/A,152.2,4.6,N/A, 151.3 , 4.5 ,,151.9,4.6,Individual building,
5,314,70,5106733,Staten Island Zoo Campus: Carousel,DCLA, N/A , 339.0 ,11.4,N/A,337.7,11.7,N/A, 310.8 , 10.6 ,,356.7,12.8,Part of campus,Staten Island Zoo Campus
5,314,70,5106733,Staten Island Zoo Campus: Horse Barn,DCLA, N/A , 339.0 ,11.4,N/A,337.7,11.7,N/A, 310.8 , 10.6 ,,356.7,12.8,Part of campus,Staten Island Zoo Campus
5,314,70,5106733,Staten Island Zoo Campus: Hospital Building,DCLA, N/A , 339.0 ,11.4,N/A,337.7,11.7,N/A, 310.8 , 10.6 ,,356.7,12.8,Part of campus,Staten Island Zoo Campus
5,314,70,5106733,Staten Island Zoo Campus: Main Zoo Building,DCLA, N/A , 339.0 ,11.4,N/A,337.7,11.7,N/A, 310.8 , 10.6 ,,356.7,12.8,Part of campus,Staten Island Zoo Campus
5,314,70,5106733,Staten Island Zoo Campus: Maintenance - Commissary Building,DCLA, N/A , 339.0 ,11.4,N/A,337.7,11.7,N/A, 310.8 , 10.6 ,,356.7,12.8,Part of campus,Staten Island Zoo Campus
5,314,70,5106733,Staten Island Zoo Campus: Open Air Pavilion,DCLA, N/A , 339.0 ,11.4,N/A,337.7,11.7,N/A, 310.8 , 10.6 ,,356.7,12.8,Part of campus,Staten Island Zoo Campus
5,314,70,5106733,Staten Island Zoo Campus: Zoo Cafe & Gift Shop,DCLA, N/A , 339.0 ,11.4,N/A,337.7,11.7,N/A, 310.8 , 10.6 ,,356.7,12.8,Part of campus,Staten Island Zoo Campus
1,2179,701,1064383,"The Cloisters, Fort Tryon Park and MET",DCLA, N/A , 312.2 ,8.1,N/A,367.6,9.5,N/A, 417.9 , 10.8 ,,433.9,11.2,Individual building,
1,1909,9,1057819,The Studio Museum in Harlem,DCLA, N/A , 271.0 ,7,N/A,310.1,8,N/A, 310.7 , 8.0 ,,336,8.7,Individual building,
2,5937,440,2117846,Wave Hill Campus: Ecology Bldg,DCLA, N/A , 45.4 ,1.6,N/A,36.8,1.3,N/A, 36.4 , 1.3 ,,140.9,6.2,Part of campus,Wave Hill Campus
2,5937,440,2117850,Wave Hill Campus: Glyndor House,DCLA, N/A , 45.4 ,1.6,N/A,36.8,1.3,N/A, 36.4 , 1.3 ,,140.9,6.2,Part of campus,Wave Hill Campus
4,776,150,4539577,Bowery Bay WPCP: BIN 4539577,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
2,5937,440,2117849,Wave Hill Campus: Greenhouse,DCLA, N/A , 45.4 ,1.6,N/A,36.8,1.3,N/A, 36.4 , 1.3 ,,140.9,6.2,Part of campus,Wave Hill Campus
2,5937,440,2101020,Wave Hill Campus: Museum Building,DCLA, N/A , 45.4 ,1.6,N/A,36.8,1.3,N/A, 36.4 , 1.3 ,,140.9,6.2,Part of campus,Wave Hill Campus
2,5937,440,2117847,Wave Hill Campus: Perkins Visitors Center,DCLA, N/A , 45.4 ,1.6,N/A,36.8,1.3,N/A, 36.4 , 1.3 ,,140.9,6.2,Part of campus,Wave Hill Campus
2,5937,440,2101020,Wave Hill Campus: Wave Hill House,DCLA, N/A , 45.4 ,1.6,N/A,36.8,1.3,N/A, 36.4 , 1.3 ,,140.9,6.2,Part of campus,Wave Hill Campus
3,4440,1,3848583,26th Ward WPCP: 122-66 Flatlands Ave,DEP, 24 , 734.3 ,24.5,18,777.8,24.4,18, 733.7 , 22.4 ,21,709.2,21.1,Part of campus,26th Ward WPCP Campus
3,4452,150,3999999,26th Ward WPCP: 1533 Van Siclen Ave,DEP, 24 , 734.3 ,24.5,18,777.8,24.4,18, 733.7 , 22.4 ,21,709.2,21.1,Part of campus,26th Ward WPCP Campus
3,2613,1,3065473,B-9 Yard,DEP, N/A , 204.8 ,8.3,N/A,187.8,7.6,N/A, 152.4 , 5.9 ,,141.1,5.3,Individual building,
4,776,150,4442400,Bowery Bay WPCP: BIN 4442400,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539453,Bowery Bay WPCP: BIN 4539453,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539557,Bowery Bay WPCP: BIN 4539557,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539558,Bowery Bay WPCP: BIN 4539558,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539559,Bowery Bay WPCP: BIN 4539559,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539560,Bowery Bay WPCP: BIN 4539560,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539561,Bowery Bay WPCP: BIN 4539561,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539562,Bowery Bay WPCP: BIN 4539562,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539563,Bowery Bay WPCP: BIN 4539563,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539564,Bowery Bay WPCP: BIN 4539564,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539565,Bowery Bay WPCP: BIN 4539565,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539566,Bowery Bay WPCP: BIN 4539566,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539567,Bowery Bay WPCP: BIN 4539567,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539568,Bowery Bay WPCP: BIN 4539568,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539569,Bowery Bay WPCP: BIN 4539569,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539570,Bowery Bay WPCP: BIN 4539570,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539571,Bowery Bay WPCP: BIN 4539571,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539572,Bowery Bay WPCP: BIN 4539572,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539573,Bowery Bay WPCP: BIN 4539573,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539574,Bowery Bay WPCP: BIN 4539574,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539575,Bowery Bay WPCP: BIN 4539575,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539579,Bowery Bay WPCP: BIN 4539579,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539580,Bowery Bay WPCP: BIN 4539580,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539581,Bowery Bay WPCP: BIN 4539581,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539582,Bowery Bay WPCP: BIN 4539582,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
4,776,150,4539583,Bowery Bay WPCP: BIN 4539583,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76,366.7,9.6,Part of campus,Bowery Bay WPCP Campus
3,8116,1,3386929,Brooklyn Repair - Remsen Yard,DEP, N/A , 52.2 ,1.4,N/A,208.5,5.8,N/A, 187.5 , 6.1 ,,161.7,5.2,Individual building,
3,2944,11,3070524,BWS Storehouse,DEP, 4 , 156.7 ,6.7,5,150.9,6.4,4, 154.3 , 6.4 ,2,191.2,8.4,Individual building,
3,7452,1,3204772,Coney Island WPCP: 2580 Knapp St,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26,694.1,24.9,Part of campus,Coney Island WPCP Campus
3,7481,1,3205706,Coney Island WPCP: 3002 Ave Z,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26,694.1,24.9,Part of campus,Coney Island WPCP Campus
3,8837,1,3339298,Coney Island WPCP: Ave Z,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26,694.1,24.9,Part of campus,Coney Island WPCP Campus
3,7452,1,3204772,Coney Island WPCP: Pumping Station/Sewage Disposal,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26,694.1,24.9,Part of campus,Coney Island WPCP Campus
3,7452,1,3386004,Coney Island WPCP: Pumping Station/Sewage Disposal,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26,694.1,24.9,Part of campus,Coney Island WPCP Campus
3,7452,1,3397304,Coney Island WPCP: Pumping Station/Sewage Disposal,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26,694.1,24.9,Part of campus,Coney Island WPCP Campus
3,7452,1,3397305,Coney Island WPCP: Pumping Station/Sewage Disposal,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26,694.1,24.9,Part of campus,Coney Island WPCP Campus
4,2681,34,4059932,Construction Services,DEP, N/A , 125.0 ,5.3,N/A,117,5,N/A, 101.2 , 4.1 ,,132.6,5.3,Individual building,
2,3706,1,2023318,East Bronx Water Maintenance and Repair,DEP, N/A , 387.4 ,14.3,N/A,381.6,13.9,N/A, 322.4 , 11.5 ,,338.8,12.6,Individual building,
3,1894,38,3054607,Hazmat Citywide Field Operations,DEP, N/A , 248.9 ,8.5,N/A,242.8,7.9,N/A, 219.0 , 6.9 ,,195.3,6.4,Individual building,
2,2780,2,9999999,Hunts Point WPCP: 1270 Ryawa Ave,DEP, 50 ," 1,752.3 ",47.2,41,1869,50.5,36," 1,904.9 ", 51.9 ,43,1873.7,51.5,Part of campus,Hunts Point WPCP Campus
2,2780,74,2118036,Hunts Point WPCP: 1360 REAR Ryawa Ave,DEP, 50 ," 1,752.3 ",47.2,41,1869,50.5,36," 1,904.9 ", 51.9 ,43,1873.7,51.5,Part of campus,Hunts Point WPCP Campus
2,2780,74,2101256,Hunts Point WPCP: 1360 Ryawa Ave,DEP, 50 ," 1,752.3 ",47.2,41,1869,50.5,36," 1,904.9 ", 51.9 ,43,1873.7,51.5,Part of campus,Hunts Point WPCP Campus
2,2780,74,2118037,Hunts Point WPCP: Halleck St,DEP, 50 ," 1,752.3 ",47.2,41,1869,50.5,36," 1,904.9 ", 51.9 ,43,1873.7,51.5,Part of campus,Hunts Point WPCP Campus
2,2779,1,2117749,Hunts Point WPCP: Sanitation Center,DEP, 50 ," 1,752.3 ",47.2,41,1869,50.5,36," 1,904.9 ", 51.9 ,43,1873.7,51.5,Part of campus,Hunts Point WPCP Campus
4,11900,2,4459553,Jamaica WPCP: 130th Pl,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17,614.8,17.7,Part of campus,Jamaica WPCP Campus
4,11900,2,4459551,Jamaica WPCP: 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17,614.8,17.7,Part of campus,Jamaica WPCP Campus
4,11900,2,4459552,Jamaica WPCP: 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17,614.8,17.7,Part of campus,Jamaica WPCP Campus
4,11900,2,4459546,Jamaica WPCP: 150-00 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17,614.8,17.7,Part of campus,Jamaica WPCP Campus
4,11900,2,4459547,Jamaica WPCP: 150-20 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17,614.8,17.7,Part of campus,Jamaica WPCP Campus
4,11900,2,4459548,Jamaica WPCP: 150-20 REAR 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17,614.8,17.7,Part of campus,Jamaica WPCP Campus
4,11900,2,4459549,Jamaica WPCP: 150-80 134 St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17,614.8,17.7,Part of campus,Jamaica WPCP Campus
4,11900,2,4459550,Jamaica WPCP: 150-80 REAR 134th St,DEP, 6 , 800.9 ,22.9,6,765.3,21.8,11, 657.0 , 18.9 ,17,614.8,17.7,Part of campus,Jamaica WPCP Campus
2,3246,1,2015221,Jerome Avenue Campus: 3055 Goulden Avenue Pump Station,DEP, N/A , 160.8 ,4.3,N/A,174,4.8,N/A, 147.2 , 3.8 ,,145.1,3.8,Part of campus,Jerome Avenue Campus
2,3251,401,2015443,Jerome Avenue Campus: 3201 Jerome Ave,DEP, N/A , 160.8 ,4.3,N/A,174,4.8,N/A, 147.2 , 3.8 ,,145.1,3.8,Part of campus,Jerome Avenue Campus
2,3297,43,2016944,Jerome Avenue Campus: Jerome Park Reservoir,DEP, N/A , 160.8 ,4.3,N/A,174,4.8,N/A, 147.2 , 3.8 ,,145.1,3.8,Part of campus,Jerome Avenue Campus
2,3251,1,2015440,Jerome Avenue Campus: Jerome Park Reservoir Gatehouse 3,DEP, N/A , 160.8 ,4.3,N/A,174,4.8,N/A, 147.2 , 3.8 ,,145.1,3.8,Part of campus,Jerome Avenue Campus
1,969,22,1083653,Maintenance Facility,DEP, N/A , 244.9 ,11.9,N/A,214.2,10.7,N/A, 180.6 , 8.9 ,,221.7,11.5,Individual building,
3,7,1,3331723,Manhattan Bridge Storage,DEP, 64 , 47.2 ,2,73,39.2,1.6,78, 33.9 , 1.3 ,96,18.2,0.7,Individual building,
1,275,28,1003286,Manhattan Repair Shop,DEP, N/A , 385.9 ,22.2,N/A,354.7,20.1,N/A, 359.8 , 20.7 ,,362.6,21.5,Individual building,
1,2069,26,1075503,Manhattan Sewer Maintenace Yard,DEP, N/A , 126.6 ,4.6,N/A,115.8,3.9,N/A, 136.6 , 4.7 ,,147.4,5.2,Individual building,
3,2525,1,3064103,Newtown Creek WPCP: 100 - 116 Provost St,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3336836,Newtown Creek WPCP: 294 Freeman St,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3330051,Newtown Creek WPCP: 315 - 343 Green St,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3336837,Newtown Creek WPCP: 320 - 322 Freeman St,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3330052,Newtown Creek WPCP: 324 - 328 Freeman St,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3397230,Newtown Creek WPCP: Aeration Tank,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398211,Newtown Creek WPCP: Center Residuals Bldg,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398219,Newtown Creek WPCP: Cm Office,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398209,Newtown Creek WPCP: Disinfection Bldg,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3397231,Newtown Creek WPCP: Elect Rm 6,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398216,Newtown Creek WPCP: Electric Room 5,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398217,Newtown Creek WPCP: Electric Room 7,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398218,Newtown Creek WPCP: Electric Room 8,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3330053,Newtown Creek WPCP: Freeman St,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398220,Newtown Creek WPCP: Gravity Thickeners,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3397228,Newtown Creek WPCP: Interim Grit 1,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398212,Newtown Creek WPCP: Interim Grit 2,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398213,Newtown Creek WPCP: Interim Grit 3,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398214,Newtown Creek WPCP: Interim Grit 4,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3332517,Newtown Creek WPCP: Main Building,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398208,Newtown Creek WPCP: North Control Bldg,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2491,101,3336623,Newtown Creek WPCP: Pollution Control,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2491,101,3336628,Newtown Creek WPCP: Pollution Control,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2491,201,3336650,Newtown Creek WPCP: Pollution Control,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2527,2,3398221,Newtown Creek WPCP: Pollution Control,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2527,2,3398222,Newtown Creek WPCP: Pollution Control,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398215,Newtown Creek WPCP: Skimmings Bldg,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2494,6,3395377,Newtown Creek WPCP: Sludge Storage Tank,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398207,Newtown Creek WPCP: South Control Bldg,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
3,2525,1,3398210,Newtown Creek WPCP: Support Bldg,DEP, 12 ," 1,101.8 ",31,11,1047.9,27.6,8," 1,088.9 ", 29.0 ,34,810.7,21.7,Part of campus,Newtown Creek WPCP Campus
2,3330,60,2017876,North Bronx Yard and Reservoir HQ,DEP, 100 , 41.7 ,1.2,100,43.2,1.2,98, 65.0 , 2.6 ,84,114.6,6.3,Individual building,
1,2101,117,1084789,North River WPCP Campus: North River WPCP,DEP, 8 , 743.1 ,30.7,5,738,31.5,5, 738.5 , 28.3 ,7,747.7,28.1,Part of campus,North River WPCP Campus
5,5067,500,5135536,Oakwood Beach WPCP: BIN 5135536,DEP, 13 , 795.9 ,25.5,18,736.7,22.2,13, 747.3 , 23.4 ,17,721.7,23.1,Part of campus,Oakwood Beach WPCP Campus
5,5067,500,5156474,Oakwood Beach WPCP: BIN 5156474,DEP, 13 , 795.9 ,25.5,18,736.7,22.2,13, 747.3 , 23.4 ,17,721.7,23.1,Part of campus,Oakwood Beach WPCP Campus
5,5067,500,5156477,Oakwood Beach WPCP: BIN 5156477,DEP, 13 , 795.9 ,25.5,18,736.7,22.2,13, 747.3 , 23.4 ,17,721.7,23.1,Part of campus,Oakwood Beach WPCP Campus
5,5067,500,5156479,Oakwood Beach WPCP: BIN 5156479,DEP, 13 , 795.9 ,25.5,18,736.7,22.2,13, 747.3 , 23.4 ,17,721.7,23.1,Part of campus,Oakwood Beach WPCP Campus
5,5067,500,5156482,Oakwood Beach WPCP: BIN 5156482,DEP, 13 , 795.9 ,25.5,18,736.7,22.2,13, 747.3 , 23.4 ,17,721.7,23.1,Part of campus,Oakwood Beach WPCP Campus
5,5067,500,5156486,Oakwood Beach WPCP: BIN 5156486,DEP, 13 , 795.9 ,25.5,18,736.7,22.2,13, 747.3 , 23.4 ,17,721.7,23.1,Part of campus,Oakwood Beach WPCP Campus
5,5067,500,5156489,Oakwood Beach WPCP: BIN 5156489,DEP, 13 , 795.9 ,25.5,18,736.7,22.2,13, 747.3 , 23.4 ,17,721.7,23.1,Part of campus,Oakwood Beach WPCP Campus
