OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,PrimaryPropertyType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),SteamUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ComplianceStatus,ComplianceIssue
660,2018,1505 5TH AVE,NonResidential,1975700220,1501 5TH AVE,SEATTLE,WA,98101,47.61077,-122.3361,DOWNTOWN,7,1926,6,0,97720,97720,0,Office,,39.70,39.70,3956876,3956876,111.20,111.20,Office,72727,Retail Store,14081,Data Center,12813,1159694,3956876,0,0,0,10.6,0.1,Compliant,No Issue
661,2018,NORDSTROM ELMER J MEDICAL TOWER CONDOMINIUM,NonResidential,6108450000,1229 MADISON ST,SEATTLE,WA,98104,47.61002,-122.32222,EAST,1,1985,10,0,422503,215923,206580,Medical Office,,62.10,62.00,12264890,12232237,165.90,165.70,Medical Office,197408,NA,,NA,,3304229,11274029,0,0,958208,81,0.4,Compliant,No Issue
671,2018,JEFFERSON TOWER,NonResidential,7942600570,1600 E JEFFERSON ST,SEATTLE,WA,98122,47.60649,-122.31121,CENTRAL,1,1987,7,1,108618,108618,0,Medical Office,66,66.00,65.20,7506727,7410741,155.60,154.50,Medical Office,113739,NA,,NA,,1589756,5424247,0,0,1986494,120.1,1.1,Compliant,No Issue
673,2018,HOME DEPOT,NonResidential,7985400295,7345 DELRIDGE WAY SW,SEATTLE,WA,98106,47.53655,-122.36377,DELRIDGE NEIGHBORHOODS,1,2005,1,0,94713,94713,0,Retail Store,89,47.10,45.30,5171711,4972424,98.00,96.10,Retail Store,109758,NA,,NA,,891383,3041400,19310,1931024,0,110.7,1.2,Compliant,No Issue
674,2018,7TH & MADISON OFFICE BLDG. -(THE POLYCLINIC),NonResidential,8590400395,904 7TH AVE,SEATTLE,WA,98104,47.60707,-122.3288,EAST,7,2008,9,0,302902,201560,101342,Medical Office,61,72.20,72.10,14540646,14522574,197.30,197.20,Medical Office,201365,Parking,86270,NA,,4096539,13977391,5452,545181,0,66.3,0.3,Compliant,No Issue
675,2018,HARBORVIEW MEDICAL CENTER - Ninth & Jefferson Bldg,NonResidential,8590900185,908 JEFFERSON ST,SEATTLE,WA,98104,47.60536,-122.32405,EAST,1,2010,15,0,726103,420188,305915,Medical Office,18,142.10,142.20,61207300,61244868,330.10,332.00,Medical Office,430779,Parking,259372,NA,,12722780,43410125,18,1829,17832926,1064,2.5,Compliant,No Issue
677,2018,CABRINI MEDICAL TOWER,NonResidential,8590901010,901 BOREN AVE,SEATTLE,WA,98104,47.60883,-122.32494,EAST,1,1973,19,0,319911,163504,156407,Medical Office,52,92.00,91.40,15704110,15601371,213.20,213.70,Medical Office,170727,Parking,69171,NA,,3250031,11089106,0,0,4512266,269.5,1.6,Compliant,No Issue
678,2018,COLMAN BUILDING,NonResidential,8591400005,811 1ST AVE,SEATTLE,WA,98104,47.60353,-122.33558,DOWNTOWN,1,1900,6,0,205521,205521,0,Office,43,91.60,90.90,16134704,16010131,209.90,209.00,Office,142167,Retail Store,33905,NA,,3300496,11261292,28674,2867350,1881489,282.4,1.4,Compliant,No Issue
679,2018,MUTUAL LIFE BUILDING,NonResidential,8591400075,605 1ST AVE,SEATTLE,WA,98104,47.60197,-122.33437,DOWNTOWN,7,1900,6,0,56700,56700,0,Office,53,47.40,47.40,2675922,2675922,132.60,132.60,Office,46000,Retail Store,10500,NA,,784268,2675922,0,0,0,7.1,0.1,Compliant,No Issue
680,2018,RDA BUILDING,NonResidential,8592900345,800 MAYNARD AVE S,SEATTLE,WA,98134,47.59554,-122.32471,GREATER DUWAMISH,2,1925,4,0,72000,72000,0,Office,78,38.80,38.80,2793215,2791134,106.60,106.50,Office,72000,NA,,NA,,793631,2707868,833,83266,0,11.7,0.2,Compliant,No Issue
681,2018,1633 WESTLAKE BUILDING,NonResidential,8807900360,1633 WESTLAKE AVE N,SEATTLE,WA,98109,47.63347,-122.34078,MAGNOLIA / QUEEN ANNE,1,2000,4,0,191146,96254,94892,Office,91,45.90,45.50,4723202,4682633,128.40,127.30,Office,103000,Parking,80000,NA,,1372401,4682632,0,0,0,12.5,0.1,Compliant,No Issue
682,2018,WEST SEATTLE HEALTH CLUB,NonResidential,9358000300,2629 SW ANDOVER ST,SEATTLE,WA,98126,47.56797,-122.36711,DELRIDGE NEIGHBORHOODS,1,2001,3,0,68763,57236,11527,NA,,,,,,,,NA,,NA,,NA,,0,0,0,0,0,0,0,Not Compliant,Portfolio Manager Not Connected to the City of Seattle
683,2018,RAINIER SQUARE PLAZA,NonResidential,9834201515,3820 RAINIER AVE S,SEATTLE,WA,98118,47.56961,-122.28881,SOUTHEAST,2,1994,1,0,102133,102133,0,Strip Mall,,191.20,188.30,20543840,20227232,394.30,391.20,Strip Mall,107427,Parking,0,NA,,3480604,11875821,83514,8351411,0,475.2,4.7,Compliant,No Issue
684,2018,LEGACY CENTRE & ARBOR PLACE CONDO,Multifamily HR (10+),0254600000,2505 2ND AVE,SEATTLE,WA,98121,47.61534,-122.34844,DOWNTOWN,1,1989,26,1,358176,276497,81679,Multifamily Housing,72,44.70,44.70,12343005,12343005,98.40,98.40,Multifamily Housing,198911,Parking,81769,Office,59371,2384337,8135358,42076,4207647,0,245.2,0.9,Compliant,No Issue
685,2018,818 STEWART,NonResidential,2285050000,818 STEWART ST,SEATTLE,WA,98101,47.61567,-122.33503,DOWNTOWN,7,2008,14,0,362046,237540,124506,Office,77,54.40,54.40,13792562,13792562,152.10,152.10,Office,243998,Parking,97874,Bank Branch,5780,4026859,13739643,529,52917,0,39.5,0.2,Compliant,No Issue
687,2018,FREMONT VILLAGE SQUARE-redevelopment,NonResidential,2643700000,3601 FREMONT AVE N,SEATTLE,WA,98103,47.65184,-122.35043,LAKE UNION,6,1996,4,0,43540,43540,0,Mixed Use Property,,59.60,56.40,2618331,2476487,138.10,131.00,Office,21331,Retail Store,13943,Medical Office,5561,527614,1800221,6763,676266,0,40.7,0.9,Compliant,No Issue
688,2018,INTERNATIONAL DISTRICT VILLAGE SQUARE 2,Multifamily MR (5-9),3558300000,701 8TH AVE S,SEATTLE,WA,98104,47.59625,-122.32283,DOWNTOWN,2,2002,5,0,228288,195993,32295,Multifamily Housing,75,62.50,60.80,6718836,6533604,96.70,94.90,Multifamily Housing,80298,Parking,29050,Other - Entertainment/Public Assembly,16116,559893,1910354,46232,4623249,0,250.6,1.3,Compliant,No Issue
689,2018,MARKETPLACE AT QUEEN ANNE SHOPPING CENTER,NonResidential,5161000000,600 1ST AVE N,SEATTLE,WA,98109,47.62476,-122.35521,MAGNOLIA / QUEEN ANNE,1,1994,2,0,81336,81336,0,Lifestyle Center,,163.90,161.90,13342108,13178438,364.50,362.40,Lifestyle Center,81385,NA,,NA,,2621662,8945111,42333,4233328,0,248.7,3.1,Compliant,No Issue
690,2018,ONE CONVENTION PLACE,NonResidential,5342900030,701 PIKE ST,SEATTLE,WA,98101,47.6115,-122.33278,DOWNTOWN,1,2001,23,0,538933,454273,84660,Office,80,43.70,43.70,15323852,15323852,122.40,122.40,Office,350593,Parking,108325,NA,,4491164,15323852,0,0,0,40.9,0.1,Compliant,No Issue
691,2018,OLYMPIC TOWER CONDOMINIUM,NonResidential,6385300000,217 PINE ST,SEATTLE,WA,98101,47.6103,-122.33879,DOWNTOWN,1,1929,13,0,99470,88470,11000,Multifamily Housing,,56.10,55.10,4966030,4871268,125.10,124.00,Multifamily Housing,79470,Parking,11000,Retail Store,9000,980799,3346485,15248,1524783,0,89.9,1,Compliant,No Issue
692,2018,2323 ELLIOTT - PARKING & OFFICE,NonResidential,6780950000,2323 ELLIOTT AVE,SEATTLE,WA,98121,47.61234,-122.34897,DOWNTOWN,7,1983,6,0,275982,78852,197130,Office,51,61.20,61.00,4823126,4813692,171.30,170.90,Office,78852,Office,78852,NA,,1410812,4813691,0,0,0,12.8,0.2,Compliant,No Issue
693,2018,QUEEN ANNE SQUARE EAST,NonResidential,7015350000,200 W MERCER ST,SEATTLE,WA,98119,47.62497,-122.35965,MAGNOLIA / QUEEN ANNE,7,1982,5,0,98668,98668,0,Office,96,32.10,32.10,3168259,3168259,89.90,89.90,Office,98668,NA,,NA,,928564,3168259,0,0,0,8.5,0.1,Compliant,No Issue
694,2018,Rainier Brewery (Rainier Commons),NonResidential,7135400000,3100 AIRPORT WAY S,SEATTLE,WA,98134,47.57654,-122.32047,GREATER DUWAMISH,1,2007,1,0,213696,213696,0,Office,41,50.50,48.80,6532588,6310994,124.20,120.80,Office,80157,Multifamily Housing,34302,Parking,26937,1507511,5143628,11674,1167367,0,75.7,0.4,Not Compliant,Default Data
696,2018,SALMON BAY WATERWAY,NonResidential,7666200070,1100 W EWING ST,SEATTLE,WA,98119,47.65692,-122.37059,MAGNOLIA / QUEEN ANNE,1,1978,1,0,105100,105100,0,Manufacturing/Industrial Plant,,40.20,39.50,4240404,4163848,112.50,110.50,Manufacturing/Industrial Plant,76864,Refrigerated Warehouse,28640,NA,,1220354,4163848,0,0,0,11.1,0.1,Compliant,No Issue
700,2018,WHOLE FOODS INTERBAY,NonResidential,7666201460,2001 15TH AVE W,SEATTLE,WA,98119,47.63718,-122.37734,MAGNOLIA / QUEEN ANNE,7,2008,1,0,57176,57176,0,Supermarket/Grocery Store,,199.20,196.90,11949866,11812184,407.00,405.40,Supermarket/Grocery Store,39500,Retail Store,15000,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5500,1996900,6813423,49988,4998761,0,283.7,5,Compliant,No Issue
701,2018,STAPLES BUILDING,NonResidential,7666201690,1523 15TH AVE W,SEATTLE,WA,98119,47.63284,-122.37712,MAGNOLIA / QUEEN ANNE,1,1978,1,0,50660,50660,0,Retail Store,61,52.40,50.50,2655927,2559706,107.20,105.20,Retail Store,50660,NA,,NA,,442057,1508300,10514,1051406,0,59.9,1.2,Compliant,No Issue
702,2018,THE END OF ELLIOTT COMPLEX,NonResidential,7666201740,1461 ELLIOTT AVE W,SEATTLE,WA,98119,47.63156,-122.37551,MAGNOLIA / QUEEN ANNE,7,1937,2,0,59800,59800,0,Office,38,53.30,51.00,2124316,2033072,110.20,107.10,Office,39879,NA,,NA,,358083,1221779,8113,811293,0,46.3,0.8,Compliant,No Issue
703,2018,ELLIOTT WEST BLDG 3 - CELL THEREPEUTICS/ADMIN. OFF,NonResidential,7666202080,501 ELLIOTT AVE W,SEATTLE,WA,98119,47.62302,-122.36476,MAGNOLIA / QUEEN ANNE,7,2000,4,0,165111,110111,55000,Office,1,254.00,254.00,27966212,27966212,711.10,711.10,Office,110111,Parking,55000,Data Center,5444,8196428,27966212,0,0,0,74.7,0.7,Account Requires Verification,High Outlier - EUI
704,2018,401 ELLIOTT WEST,NonResidential,7666202110,401 ELLIOTT AVE W,SEATTLE,WA,98119,47.62235,-122.36378,MAGNOLIA / QUEEN ANNE,1,2000,4,0,129551,87051,42500,Office,1,316.80,316.80,27578572,27578572,887.10,887.10,Office,87051,Parking,42500,Data Center,4778,8082817,27578572,0,0,0,73.6,0.8,Account Requires Verification,High Outlier - EUI
705,2018,CLEAR CHANNEL (ACKERLY)- BLDG 1,NonResidential,7666202133,351 ELLIOTT AVE W,SEATTLE,WA,98119,47.62175,-122.36313,MAGNOLIA / QUEEN ANNE,1,2000,5,0,159937,103966,55971,Office,61,73.20,73.20,7793500,7793500,203.50,203.50,Office,106449,Parking,55971,NA,,2257762,7703484,900,90016,0,25.3,0.2,Compliant,No Issue
706,2018,333 ELLIOTT,NonResidential,7666202160,333 ELLIOTT AVE W,SEATTLE,WA,98119,47.62101,-122.36188,MAGNOLIA / QUEEN ANNE,7,2008,5,0,183964,137201,46763,Office,,67.00,67.00,8859352,8859352,187.70,187.70,Office,132185,Parking,47054,NA,,2596527,8859350,0,0,0,23.6,0.2,Compliant,No Issue
707,2018,SEATTLE POST INTELLIGENCER,NonResidential,7666202220,101 ELLIOTT AVE W,SEATTLE,WA,98119,47.61896,-122.35937,MAGNOLIA / QUEEN ANNE,1,1986,5,0,208210,129362,78848,Office,89,52.50,52.50,5771634,5771634,119.60,119.60,Office,109978,Parking,78848,NA,,1187498,4051743,17199,1719891,0,102.2,0.8,Compliant,No Issue
708,2018,3131 ELLIOTT BLDG,NonResidential,7666202240,3131 ELLIOTT AVE,SEATTLE,WA,98121,47.61813,-122.35833,DOWNTOWN,1,1986,7,0,277486,197203,80283,Office,66,65.40,65.40,12479362,12479362,183.00,183.00,Office,176276,Parking,80586,Other,14653,3657492,12479363,0,0,0,33.3,0.2,Compliant,No Issue
709,2018,PIER 69,NonResidential,7666202295,2611 ALASKAN WAY,SEATTLE,WA,98121,47.614,-122.35375,DOWNTOWN,1,1993,3,0,187130,187130,0,Office,66,54.10,53.40,10346456,10213948,151.50,149.60,Office,162616,Transportation Terminal/Station,17460,Non-Refrigerated Warehouse,7261,2993537,10213948,0,0,0,27.3,0.1,Compliant,No Issue
710,2018,WORLD TRADE CENTER NORTH,NonResidential,7666202320,2401 ELLIOTT AVE,SEATTLE,WA,98121,47.61287,-122.35022,DOWNTOWN,1,2000,5,1,251044,133177,117867,Office,64,116.10,116.10,16742586,16742586,325.20,325.20,Office,131867,Data Center,12302,NA,,4906971,16742585,0,0,0,44.7,0.3,Compliant,No Issue
711,2018,PUBLIC STORAGE (STORE 8495),NonResidential,7666202440,1334 ALASKAN WAY,SEATTLE,WA,98101,47.60703,-122.34038,DOWNTOWN,1,1912,5,0,95330,95330,0,Self-Storage Facility,,13.70,12.90,1310360,1226256,38.50,36.00,Self-Storage Facility,95330,NA,,NA,,359395,1226256,0,0,0,3.3,0,Compliant,No Issue
712,2018,51 UNIVERSITY (SCHWABACHER BLDG.),NonResidential,7666202475,51 UNIVERSITY ST,SEATTLE,WA,98101,47.60604,-122.33948,DOWNTOWN,7,1918,6,0,108245,93555,14690,Office,,46.80,45.90,4605527,4517172,124.20,121.60,Office,64055,Adult Education,14621,Parking,12359,1201221,4098566,0,0,418607,33.2,0.4,Compliant,No Issue
713,2018,NATIONAL BUILDING,NonResidential,7666202515,1000 WESTERN AVE,SEATTLE,WA,98104,47.6047,-122.33739,DOWNTOWN,7,1905,6,0,167860,167860,0,Office,,50.50,50.00,6603736,6536959,141.40,140.00,Office,110300,Retail Store,19801,Data Center,634,1915873,6536959,0,0,0,17.5,0.1,Compliant,No Issue
714,2018,MARITIME BUILDING,NonResidential,7666202525,911 WESTERN AVE,SEATTLE,WA,98104,47.60378,-122.33741,DOWNTOWN,1,1911,5,0,241685,211043,30642,Office,98,,23.30,,5217594,,63.90,Office,223860,Parking,32335,NA,,1478503,5044652,0,0,0,13.5,0.1,Compliant,No Issue
715,2018,POLSON BUILDING,NonResidential,7666202565,71 COLUMBIA ST,SEATTLE,WA,98104,47.60247,-122.33621,DOWNTOWN,1,1910,6,0,112560,112560,0,Office,86,47.30,46.70,4564624,4505386,110.80,110.80,Office,80400,Retail Store,16080,NA,,997817,3404552,11008,1100834,0,67.6,0.6,Compliant,No Issue
716,2018,WESTERN BUILDING,NonResidential,7666202570,615 WESTERN AVE,SEATTLE,WA,98104,47.60223,-122.33602,DOWNTOWN,7,1910,6,0,86204,86204,0,Office,88,41.40,40.70,3363279,3307424,88.20,88.30,Office,81204,NA,,NA,,619335,2113171,11943,1194253,0,69.1,0.8,Compliant,No Issue
717,2018,Airport Way Ctr - Bldg C,Nonresidential COS,7666203240,2203 AIRPORT WAY S,SEATTLE,WA,98134,47.5829,-122.32417,GREATER DUWAMISH,2,1985,2,1,145158,145158,0,Mixed Use Property,39,67.50,68.50,7013274,7119742,163.30,168.00,Non-Refrigerated Warehouse,52671,Office,40144,Parking,23880,1671254,5702319,14174,1417425,0,90.5,0.6,Compliant,No Issue
718,2018,HOLGATE CENTER,NonResidential,7666203300,1737 AIRPORT WAY S,SEATTLE,WA,98134,47.58716,-122.32214,GREATER DUWAMISH,1,1951,2,0,112896,112896,0,Office,58,100.10,99.20,11297787,11198384,241.80,241.80,Office,112896,Parking,57500,NA,,2601867,8877570,23208,2320815,0,147,1.3,Compliant,No Issue
719,2018,MACMILLAN-PIPER EYRES WAREHOUSE,NonResidential,7666203440,1762 6TH AVE S,SEATTLE,WA,98134,47.58685,-122.32501,GREATER DUWAMISH,1,1960,1,0,110613,110613,0,Distribution Center,89,8.60,8.60,955603,955603,24.20,24.20,Distribution Center,99551,Office,11061,NA,,280071,955603,0,0,0,2.6,0,Compliant,No Issue
720,2018,6TH & HOLGATE BUILDING,NonResidential,7666203467,1926 6TH AVE S,SEATTLE,WA,98134,47.58553,-122.32511,GREATER DUWAMISH,2,1951,4,0,149881,149881,0,Non-Refrigerated Warehouse,93,15.30,14.40,2287030,2157054,22.10,21.20,Non-Refrigerated Warehouse,119593,Office,30288,NA,,152577,520593,16365,1636461,0,88.3,0.6,Compliant,No Issue
722,2018,INDUSTRIAL TRANSFER WHSE,NonResidential,7666203530,2440 6TH AVE S,SEATTLE,WA,98134,47.58042,-122.32552,GREATER DUWAMISH,2,1951,3,0,98220,98220,0,Non-Refrigerated Warehouse,18,39.80,39.70,5156846,5133068,106.60,106.40,Non-Refrigerated Warehouse,129420,NA,,NA,,1403742,4789568,3435,343501,0,31,0.3,Compliant,No Issue
723,2018,NORTH COAST ELECTRIC ETC,NonResidential,7666203538,2400 8TH AVE S,SEATTLE,WA,98134,47.58096,-122.32313,GREATER DUWAMISH,1,1970,1,0,84420,84420,0,Distribution Center,41,36.60,36.20,2981042,2950521,96.30,95.90,Distribution Center,44300,Office,24838,Retail Store,12349,790529,2697285,2532,253236,0,20.6,0.2,Compliant,No Issue
725,2018,OWL TRANSFER,NonResidential,7666204100,3623 6TH AVE S,SEATTLE,WA,98134,47.57055,-122.3267,GREATER DUWAMISH,1,1961,1,0,73335,73335,0,Distribution Center,85,11.10,11.10,811772,811772,22.40,22.40,Distribution Center,73335,Parking,0,NA,,132360,451611,3602,360161,0,20.3,0.3,Compliant,No Issue
727,2018,ESQUIN,NonResidential,7666204225,2700 4TH AVE S,SEATTLE,WA,98134,47.5794,-122.32848,GREATER DUWAMISH,1,1928,2,1,56876,56876,0,Distribution Center,,25.60,24.20,1455725,1378496,39.20,37.70,Distribution Center,48400,Office,4276,Retail Store,4200,117086,399496,9790,979000,0,53.1,0.9,Compliant,No Issue
728,2018,PACIFIC IRON & METAL,NonResidential,7666204430,2230 4TH AVE S,SEATTLE,WA,98134,47.58241,-122.32866,GREATER DUWAMISH,2,1931,2,0,61200,61200,0,Non-Refrigerated Warehouse,10,82.20,79.80,5030325,4884406,136.70,133.90,Non-Refrigerated Warehouse,61200,NA,,NA,,513545,1752215,31322,3132190,0,171,2.8,Not Compliant,Default Data
729,2018,GOODWILL BUILDING,NonResidential,7666204590,1703 6TH AVE S,SEATTLE,WA,98134,47.58772,-122.32686,GREATER DUWAMISH,1,1987,1,0,111908,111908,0,Distribution Center,55,14.90,14.60,1662131,1638276,36.30,36.00,Distribution Center,111908,NA,,NA,,387442,1321951,3163,316325,0,20.3,0.2,Compliant,No Issue
730,2018,KING COUNTY METRO RYERSON BASE VEHICLE MAINTENANCE AND OPERATIONS,NonResidential,7666204685,1220 4TH AVE S,SEATTLE,WA,98134,47.5908,-122.32828,GREATER DUWAMISH,2,1986,2,3,56130,56130,0,Other - Public Services,,99.90,96.90,6561130,6365498,203.60,200.50,Other - Public Services,65700,NA,,NA,,1087008,3708871,26566,2656626,0,151,2.7,Compliant,No Issue
731,2018,SALVATION ARMY,NonResidential,7666204745,1000 4TH AVE S,SEATTLE,WA,98134,47.59439,-122.32839,GREATER DUWAMISH,2,1930,2,0,108753,89893,18860,Mixed Use Property,,24.10,24.10,2619154,2619154,67.40,67.40,Non-Refrigerated Warehouse,58605,Multifamily Housing,24338,Retail Store,18864,767630,2619154,0,0,0,7,0.1,Not Compliant,Default Data
732,2018,FRED MEYER - GREENWOOD,NonResidential,9231900160,100 NW 85TH ST,SEATTLE,WA,98117,47.69197,-122.35877,NORTHWEST,6,1970,1,0,314958,118133,196825,Supermarket/Grocery Store,91,103.70,101.80,17499404,17179300,229.90,227.90,Supermarket/Grocery Store,168735,Parking,0,NA,,3418446,11663738,55156,5515561,0,324.1,2.7,Compliant,No Issue
734,2018,1455 LEARY BUILDING,NonResidential,2768302690,1455 NW LEARY WAY,SEATTLE,WA,98107,47.6633,-122.37549,BALLARD,1,2001,4,0,92092,70074,22018,Office,7,77.00,77.00,5394784,5394784,215.60,215.60,Office,70074,NA,,NA,,1581121,5394785,0,0,0,14.4,0.2,Compliant,No Issue
735,2018,SEA MARINE AND FISH SUPPLY CO,NonResidential,2771100415,2111 W COMMODORE WAY,SEATTLE,WA,98199,47.6592,-122.38437,MAGNOLIA / QUEEN ANNE,7,1974,3,0,56259,56259,0,Non-Refrigerated Warehouse,54,47.10,44.30,2649523,2491197,74.60,71.70,Non-Refrigerated Warehouse,31582,Retail Store,20962,Office,3715,237323,809747,16814,1681450,0,91.5,1.6,Compliant,No Issue
738,2018,UW BENJAMIN HALL INTERDISCIPLINARY R&T,NonResidential,4207401365,616 NE NORTHLAKE PL,SEATTLE,WA,98105,47.65529,-122.32133,NORTHEAST,1,2006,6,1,143439,119570,23869,Laboratory,,212.40,211.20,25395888,25253580,420.60,421.60,Laboratory,119570,Parking,23869,NA,,4002000,13654824,115988,11598755,0,652.5,5.5,Compliant,No Issue
739,2018,LAKEVIEW AT FREMONT,NonResidential,1973200389,837 N 34TH ST,SEATTLE,WA,98103,47.64912,-122.34823,LAKE UNION,1,2008,4,0,202623,113768,88855,Office,73,53.10,53.10,5923622,5923622,148.60,148.60,Office,105206,Parking,31992,Fitness Center/Health Club/Gym,6374,1736114,5923621,0,0,0,15.8,0.1,Compliant,No Issue
740,2018,THE CANAL VIEW BUILDING,NonResidential,1972206514,551 N 34TH ST,SEATTLE,WA,98103,47.64932,-122.35187,LAKE UNION,1,2000,2,0,77174,51374,25800,Office,7,136.10,136.10,6993715,6993715,349.90,349.90,Office,45584,Parking,25800,Laboratory,5790,1780899,6076427,9173,917289,0,64.9,1.3,Not Compliant,Default Data
741,2018,1000 DEXTER PHASE II,NonResidential,2249500235,1000 DEXTER AVE N,SEATTLE,WA,98109,47.62817,-122.34212,MAGNOLIA / QUEEN ANNE,1,1998,5,0,110524,110524,0,Office,72,53.40,53.40,5740662,5740662,149.60,149.60,Office,98781,Other,8634,Parking,0,1682492,5740663,0,0,0,15.3,0.1,Compliant,No Issue
742,2018,1100 EASTLAKE - (2013),NonResidential,2163901105,1100 EASTLAKE AVE E,SEATTLE,WA,98109,47.6289,-122.32877,LAKE UNION,3,2008,5,0,287224,183574,103650,Mixed Use Property,,148.70,148.20,22364946,22289962,377.80,377.30,Parking,97500,Office,88051,Other,54106,5581140,19042850,32471,3247113,0,223.3,1.2,Compliant,No Issue
743,2018,1208 Eastlake Ave E (Dendreon),NonResidential,2163901160,1208 EASTLAKE AVE E,SEATTLE,WA,98102,47.63079,-122.32693,LAKE UNION,1,1999,4,0,128408,109749,18659,Laboratory,,321.70,321.70,32183128,32178632,618.40,623.00,Laboratory,100028,Parking,20090,NA,,4777336,16300270,158784,15878361,0,886.8,8.1,Compliant,No Issue
744,2018,WEST TOWER,NonResidential,1989200750,400 2ND AVE W,SEATTLE,WA,98119,47.62225,-122.35915,MAGNOLIA / QUEEN ANNE,7,2000,7,0,241875,157186,84689,Office,88,43.70,43.50,7265266,7227046,119.70,119.50,Office,166089,Parking,80194,NA,,2052990,7004802,2222,222243,0,30.5,0.2,Compliant,No Issue
745,2018,190 QUEEN ANNE,NonResidential,1989201385,190 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.61949,-122.35639,MAGNOLIA / QUEEN ANNE,7,1974,5,0,102930,84210,18720,Office,83,51.70,51.10,4376157,4321248,134.00,133.40,Office,84615,Parking,18263,NA,,1130056,3855751,4655,465496,0,35,0.4,Compliant,No Issue
748,2018,PIER 70,NonResidential,7666202292,2801 ALASKAN WAY,SEATTLE,WA,98121,47.61472,-122.35566,DOWNTOWN,7,1902,3,0,76893,76893,0,Office,12,152.50,151.70,11723597,11663542,333.50,332.60,Office,69951,Restaurant,6942,Retail Store,15845,2232585,7617580,40460,4045961,0,235.2,3.1,Compliant,No Issue
749,2018,FOURTH & VINE BLDG,NonResidential,0656000410,2601 4TH AVE,SEATTLE,WA,98121,47.61732,-122.34791,DOWNTOWN,7,1975,8,0,150000,126370,23630,Office,67,64.40,63.60,8158306,8055409,165.80,165.00,Office,126648,Parking,23396,NA,,2082193,7104443,9510,950967,0,69.5,0.5,Compliant,No Issue
750,2018,SEATTLE CHILDREN'S HOSPITAL RESEARCH BUILDING #2,NonResidential,0660001255,1915 TERRY AVE,SEATTLE,WA,98101,47.61628,-122.33391,DOWNTOWN,7,1953,7,0,274362,274362,0,Office,94,34.70,34.60,9525404,9496823,90.30,90.20,Office,274362,NA,,NA,,2475093,8445017,10518,1051805,0,78.4,0.3,Compliant,No Issue
751,2018,BLANCHARD PLAZA,NonResidential,0697000235,2201 6TH AVE,SEATTLE,WA,98121,47.61599,-122.34165,DOWNTOWN,7,1983,15,0,378002,261722,116280,Office,81,64.00,63.00,17295084,17023422,156.40,155.40,Office,270237,Parking,71602,NA,,4038973,13780976,32424,3242446,0,209,0.8,Compliant,No Issue
752,2018,ACTIVE VOICE  BUILDING (FORMERLY SIXTH & LENORA),NonResidential,0659000930,2033 6TH AVE,SEATTLE,WA,98121,47.61481,-122.33969,DOWNTOWN,1,1963,11,0,169020,169020,0,Office,81,55.50,54.30,9713218,9503612,119.40,118.00,Office,156414,Bar/Nightclub,10337,"Personal Services (Health/Beauty, Dry Cleaning, etc)",8208,1726703,5891511,12707,1270656,2341444,207.7,1.2,Compliant,No Issue
753,2018,THE WESTIN BUILDING EXCHANGE (Office),NonResidential,0659000950,2001 6TH AVE,SEATTLE,WA,98121,47.61438,-122.33871,DOWNTOWN,1,1981,33,0,429405,429405,0,Data Center,,622.60,624.70,267353376,268268336,1741.80,1747.90,Data Center,218997,Office,210409,NA,,78522352,267918265,3501,350071,0,733.8,1.7,Compliant,No Issue
754,2018,720 OLIVE BLDG,NonResidential,0659000305,720 OLIVE WAY,SEATTLE,WA,98101,47.61418,-122.33485,DOWNTOWN,1,1981,19,0,383515,293737,89778,Office,75,49.40,49.40,16476531,16476531,138.40,138.40,Office,333328,Parking,92768,NA,,4828995,16476531,0,0,0,44,0.1,Compliant,No Issue
755,2018,MEDICAL DENTAL BUILDING,NonResidential,0659000085,509 OLIVE WAY,SEATTLE,WA,98101,47.61274,-122.33685,DOWNTOWN,1,1925,18,0,363934,335064,28870,Medical Office,72,71.40,69.70,21630368,21113870,156.90,154.80,Medical Office,281598,Parking,27597,Retail Store,21519,3950590,13479413,123,12323,7622134,441.8,1.3,Compliant,No Issue
756,2018,OLD NAVY,NonResidential,1976700005,601 PINE ST,SEATTLE,WA,98101,47.61203,-122.33486,DOWNTOWN,7,1929,4,0,78920,78920,0,Retail Store,85,78.60,78.60,6201822,6201822,198.40,198.40,Retail Store,78920,NA,,NA,,1531159,5224315,9775,977508,0,65.9,0.8,Compliant,No Issue
